"country","city","street","housenumber"
"","Yerevan","Bashinjaghyan street","144"
"","Yerevan","Bashinjaghyan street","182"
"","Yerevan","Bashinjaghyan street","186"
"","Yerevan","Chekhov street","12"
"","Yerevan","Daviel Varujan Street","1"
"","Yerevan","Daviel Varujan Street","10"
"","Yerevan","Daviel Varujan Street","11"
"","Yerevan","Daviel Varujan Street","12"
"","Yerevan","Daviel Varujan Street","13"
"","Yerevan","Daviel Varujan Street","14"
"","Yerevan","Daviel Varujan Street","15"
"","Yerevan","Daviel Varujan Street","16"
"","Yerevan","Daviel Varujan Street","17"
"","Yerevan","Daviel Varujan Street","18"
"","Yerevan","Daviel Varujan Street","19"
"","Yerevan","Daviel Varujan Street","1a"
"","Yerevan","Daviel Varujan Street","2"
"","Yerevan","Daviel Varujan Street","20"
"","Yerevan","Daviel Varujan Street","21"
"","Yerevan","Daviel Varujan Street","22"
"","Yerevan","Daviel Varujan Street","23"
"","Yerevan","Daviel Varujan Street","24"
"","Yerevan","Daviel Varujan Street","25"
"","Yerevan","Daviel Varujan Street","26"
"","Yerevan","Daviel Varujan Street","27"
"","Yerevan","Daviel Varujan Street","28"
"","Yerevan","Daviel Varujan Street","29"
"","Yerevan","Daviel Varujan Street","3"
"","Yerevan","Daviel Varujan Street","30"
"","Yerevan","Daviel Varujan Street","31"
"","Yerevan","Daviel Varujan Street","32"
"","Yerevan","Daviel Varujan Street","33"
"","Yerevan","Daviel Varujan Street","34"
"","Yerevan","Daviel Varujan Street","35"
"","Yerevan","Daviel Varujan Street","36"
"","Yerevan","Daviel Varujan Street","38"
"","Yerevan","Daviel Varujan Street","39"
"","Yerevan","Daviel Varujan Street","4"
"","Yerevan","Daviel Varujan Street","40"
"","Yerevan","Daviel Varujan Street","41"
"","Yerevan","Daviel Varujan Street","42"
"","Yerevan","Daviel Varujan Street","43"
"","Yerevan","Daviel Varujan Street","44"
"","Yerevan","Daviel Varujan Street","45"
"","Yerevan","Daviel Varujan Street","46"
"","Yerevan","Daviel Varujan Street","47"
"","Yerevan","Daviel Varujan Street","48"
"","Yerevan","Daviel Varujan Street","49"
"","Yerevan","Daviel Varujan Street","5"
"","Yerevan","Daviel Varujan Street","50"
"","Yerevan","Daviel Varujan Street","51"
"","Yerevan","Daviel Varujan Street","52"
"","Yerevan","Daviel Varujan Street","53"
"","Yerevan","Daviel Varujan Street","54"
"","Yerevan","Daviel Varujan Street","56"
"","Yerevan","Daviel Varujan Street","58"
"","Yerevan","Daviel Varujan Street","6"
"","Yerevan","Daviel Varujan Street","60"
"","Yerevan","Daviel Varujan Street","62"
"","Yerevan","Daviel Varujan Street","64"
"","Yerevan","Daviel Varujan Street","66"
"","Yerevan","Daviel Varujan Street","68"
"","Yerevan","Daviel Varujan Street","7"
"","Yerevan","Daviel Varujan Street","8"
"","Yerevan","Daviel Varujan Street","9"
"","Yerevan","Duryan street","1"
"","Yerevan","Duryan street","11"
"","Yerevan","Duryan street","12"
"","Yerevan","Duryan street","13"
"","Yerevan","Duryan street","14"
"","Yerevan","Duryan street","15"
"","Yerevan","Duryan street","17"
"","Yerevan","Duryan street","18"
"","Yerevan","Duryan street","19"
"","Yerevan","Duryan street","2"
"","Yerevan","Duryan street","20"
"","Yerevan","Duryan street","21"
"","Yerevan","Duryan street","22"
"","Yerevan","Duryan street","23"
"","Yerevan","Duryan street","25"
"","Yerevan","Duryan street","27"
"","Yerevan","Duryan street","29"
"","Yerevan","Duryan street","3"
"","Yerevan","Duryan street","31"
"","Yerevan","Duryan street","33"
"","Yerevan","Duryan street","35"
"","Yerevan","Duryan street","39"
"","Yerevan","Duryan street","4"
"","Yerevan","Duryan street","5"
"","Yerevan","Duryan street","6"
"","Yerevan","Duryan street","7"
"","Yerevan","Duryan street","8"
"","Yerevan","Duryan street","9"
"","Yerevan","Garegin Nzhdeh street","25/3"
"","Yerevan","Grigor Hasratyan street","11"
"","Yerevan","Grigor Hasratyan street","13"
"","Yerevan","Grigor Hasratyan street","25/1"
"","Yerevan","Grigor Hasratyan street","25/2"
"","Yerevan","Grigor Hasratyan street","3"
"","Yerevan","Grigor Hasratyan street","9"
"","Yerevan","Hanrapetutyan street","83"
"","Yerevan","Jambul street","1"
"","Yerevan","Jambul street","10"
"","Yerevan","Jambul street","11"
"","Yerevan","Jambul street","12"
"","Yerevan","Jambul street","12a"
"","Yerevan","Jambul street","13"
"","Yerevan","Jambul street","14"
"","Yerevan","Jambul street","14a"
"","Yerevan","Jambul street","15"
"","Yerevan","Jambul street","16"
"","Yerevan","Jambul street","17"
"","Yerevan","Jambul street","18"
"","Yerevan","Jambul street","18a"
"","Yerevan","Jambul street","19"
"","Yerevan","Jambul street","1a"
"","Yerevan","Jambul street","2"
"","Yerevan","Jambul street","20"
"","Yerevan","Jambul street","21"
"","Yerevan","Jambul street","22a"
"","Yerevan","Jambul street","23"
"","Yerevan","Jambul street","24"
"","Yerevan","Jambul street","24a"
"","Yerevan","Jambul street","25"
"","Yerevan","Jambul street","26"
"","Yerevan","Jambul street","27"
"","Yerevan","Jambul street","3"
"","Yerevan","Jambul street","31"
"","Yerevan","Jambul street","33"
"","Yerevan","Jambul street","35"
"","Yerevan","Jambul street","37"
"","Yerevan","Jambul street","39"
"","Yerevan","Jambul street","3a"
"","Yerevan","Jambul street","4"
"","Yerevan","Jambul street","41"
"","Yerevan","Jambul street","43"
"","Yerevan","Jambul street","45"
"","Yerevan","Jambul street","47"
"","Yerevan","Jambul street","5"
"","Yerevan","Jambul street","5a"
"","Yerevan","Jambul street","6"
"","Yerevan","Jambul street","6a"
"","Yerevan","Jambul street","7"
"","Yerevan","Jambul street","7a"
"","Yerevan","Jambul street","8"
"","Yerevan","Jambul street","9"
"","Yerevan","Khoren Khachatryan street","2"
"","Yerevan","Koghb 1st street","1"
"","Yerevan","Koghb 1st street","1a"
"","Yerevan","Koghb 1st street","2"
"","Yerevan","Koghb 1st street","3"
"","Yerevan","Koghb 1st street","4"
"","Yerevan","Koghb 1st street","5"
"","Yerevan","Koghb 1st street","6"
"","Yerevan","Koghb 1st street","7"
"","Yerevan","Koghb 1st street","8"
"","Yerevan","Koghb 1st street","9"
"","Yerevan","Kurghinyan lane","1"
"","Yerevan","Leningradyan street","31"
"","Yerevan","Leningradyan street","31/1"
"","Yerevan","Leningradyan street","31/2"
"","Yerevan","Leningradyan street","31/3"
"","Yerevan","Leningradyan street","31/4"
"","Yerevan","Leningradyan street","46"
"","Yerevan","Leningradyan street","46/1"
"","Yerevan","Leo street","24"
"","Yerevan","Leo street","30"
"","Yerevan","Leo street","38"
"","Yerevan","Leo street","40"
"","Yerevan","Leo street","52"
"","Yerevan","Leo street","7a"
"","Yerevan","Leo street","9"
"","Yerevan","Malatia Street","20"
"","Yerevan","Malatia Street","27"
"","Yerevan","Malatia Street","36"
"","Yerevan","Mantashyan Street Lane","27"
"","Yerevan","Mantashyan Street","79"
"","Yerevan","Mantashyan Street","81"
"","Yerevan","Mantashyan Street","83"
"","Yerevan","Mantashyan Street","83/1"
"","Yerevan","Mantashyan Street","85"
"","Yerevan","Mantashyan Street","87"
"","Yerevan","Mantashyan Street","89"
"","Yerevan","Mantashyan street","50"
"","Yerevan","Mantashyan street","60"
"","Yerevan","Mantashyan street","62"
"","Yerevan","Mantashyan street","64"
"","Yerevan","Mantashyan street","66"
"","Yerevan","Margarian street","35"
"","Yerevan","Marshal Baghramyan avenue","26"
"","Yerevan","Mesrop Mashtots Avenue","5b"
"","Yerevan","Metsarents Street","103"
"","Yerevan","Metsarents Street","105"
"","Yerevan","Metsarents Street","107"
"","Yerevan","Metsarents Street","109"
"","Yerevan","Metsarents Street","111"
"","Yerevan","Metsarents Street","113"
"","Yerevan","Metsarents Street","115"
"","Yerevan","Metsarents Street","117"
"","Yerevan","Metsarents Street","121"
"","Yerevan","Mikayelyan Street","1"
"","Yerevan","Mikayelyan Street","17"
"","Yerevan","Mikayelyan Street","19"
"","Yerevan","Mikayelyan Street","2"
"","Yerevan","Mikayelyan Street","21"
"","Yerevan","Mikayelyan Street","22"
"","Yerevan","Mikayelyan Street","23"
"","Yerevan","Mikayelyan Street","24"
"","Yerevan","Mikayelyan Street","25"
"","Yerevan","Mikayelyan Street","26"
"","Yerevan","Mikayelyan Street","27"
"","Yerevan","Mikayelyan Street","28"
"","Yerevan","Mikayelyan Street","29"
"","Yerevan","Mikayelyan Street","30"
"","Yerevan","Mikayelyan Street","31"
"","Yerevan","Mikayelyan Street","32"
"","Yerevan","Mikayelyan Street","33"
"","Yerevan","Mikayelyan Street","34"
"","Yerevan","Mikayelyan Street","35"
"","Yerevan","Mikayelyan Street","46"
"","Yerevan","Mikayelyan Street","48"
"","Yerevan","Mikayelyan Street","50"
"","Yerevan","Mikayelyan Street","52"
"","Yerevan","Mikayelyan Street","54"
"","Yerevan","Mikayelyan Street","56"
"","Yerevan","Mikayelyan Street","58"
"","Yerevan","Mikayelyan Street","60"
"","Yerevan","Mikayelyan Street","62"
"","Yerevan","Mikayelyan Street","64"
"","Yerevan","Mikayelyan Street","66"
"","Yerevan","Mikayelyan Street","68"
"","Yerevan","Nalbandyan street","19"
"","Yerevan","Nalbandyan street","46"
"","Yerevan","Nar-Dos street","60"
"","Yerevan","Orbeli Brothers street","37"
"","Yerevan","Orbeli Brothers street","39"
"","Yerevan","Orbeli Brothers street","41/2"
"","Yerevan","Orbeli Brothers street","41/4"
"","Yerevan","Orbeli Brothers street","51"
"","Yerevan","Orbeli Brothers street","55a"
"","Yerevan","Orbeli Brothers street","57"
"","Yerevan","Orbeli Brothers street","63/3"
"","Yerevan","Orbeli Brothers street","67/4"
"","Yerevan","Paronyan street","4a"
"","Yerevan","Raffi Street","39/1"
"","Yerevan","Sebastia Street","176"
"","Yerevan","Sebastia Street","19"
"","Yerevan","Sebastia Street","37/2"
"","Yerevan","Sevan Street lane","132"
"","Yerevan","Shahamiryanner street","21"
"","Yerevan","Shahamiryanner street","3"
"","Yerevan","Shahumyan 2nd street","1"
"","Yerevan","Shahumyan 2nd street","10"
"","Yerevan","Shahumyan 2nd street","12"
"","Yerevan","Shahumyan 2nd street","14"
"","Yerevan","Shahumyan 2nd street","16"
"","Yerevan","Shahumyan 2nd street","18"
"","Yerevan","Shahumyan 2nd street","19"
"","Yerevan","Shahumyan 2nd street","20"
"","Yerevan","Shahumyan 2nd street","21"
"","Yerevan","Shahumyan 2nd street","22"
"","Yerevan","Shahumyan 2nd street","23"
"","Yerevan","Shahumyan 2nd street","24"
"","Yerevan","Shahumyan 2nd street","25"
"","Yerevan","Shahumyan 2nd street","26"
"","Yerevan","Shahumyan 2nd street","27"
"","Yerevan","Shahumyan 2nd street","28"
"","Yerevan","Shahumyan 2nd street","29"
"","Yerevan","Shahumyan 2nd street","3"
"","Yerevan","Shahumyan 2nd street","30"
"","Yerevan","Shahumyan 2nd street","31"
"","Yerevan","Shahumyan 2nd street","32"
"","Yerevan","Shahumyan 2nd street","33"
"","Yerevan","Shahumyan 2nd street","34"
"","Yerevan","Shahumyan 2nd street","36"
"","Yerevan","Shahumyan 2nd street","38"
"","Yerevan","Shahumyan 2nd street","4"
"","Yerevan","Shahumyan 2nd street","40"
"","Yerevan","Shahumyan 2nd street","40a"
"","Yerevan","Shahumyan 2nd street","5"
"","Yerevan","Shahumyan 2nd street","6"
"","Yerevan","Shahumyan 2nd street","7"
"","Yerevan","Shahumyan 2nd street","8"
"","Yerevan","Shahumyan 2nd street","9"
"","Yerevan","Shevchenko street","10"
"","Yerevan","Shevchenko street","7"
"","Yerevan","Smbat Zoravar Street","57"
"","Yerevan","St. Abgar street","43"
"","Yerevan","Tichina street 3rd lane","2/2"
"","Yerevan","Timiryazev street deadlock","1"
"","Yerevan","Timiryazev street deadlock","11"
"","Yerevan","Timiryazev street deadlock","13"
"","Yerevan","Timiryazev street deadlock","3"
"","Yerevan","Timiryazev street deadlock","9"
"","Yerevan","Timiryazev street deadlock","9/1"
"","Yerevan","Timiryazev street deadlock","9a"
"","Yerevan","Tserents 1st lane","1"
"","Yerevan","Tserents 1st lane","10"
"","Yerevan","Tserents 1st lane","11"
"","Yerevan","Tserents 1st lane","12"
"","Yerevan","Tserents 1st lane","12a"
"","Yerevan","Tserents 1st lane","13"
"","Yerevan","Tserents 1st lane","14"
"","Yerevan","Tserents 1st lane","15"
"","Yerevan","Tserents 1st lane","16"
"","Yerevan","Tserents 1st lane","17"
"","Yerevan","Tserents 1st lane","17/1"
"","Yerevan","Tserents 1st lane","18"
"","Yerevan","Tserents 1st lane","19"
"","Yerevan","Tserents 1st lane","2"
"","Yerevan","Tserents 1st lane","20"
"","Yerevan","Tserents 1st lane","3"
"","Yerevan","Tserents 1st lane","4"
"","Yerevan","Tserents 1st lane","5"
"","Yerevan","Tserents 1st lane","6"
"","Yerevan","Tserents 1st lane","7"
"","Yerevan","Tserents 1st lane","8"
"","Yerevan","Tserents 1st lane","9"
"","Yerevan","Vantyan street","1"
"","Yerevan","Vantyan street","10"
"","Yerevan","Vantyan street","11"
"","Yerevan","Vantyan street","12"
"","Yerevan","Vantyan street","13"
"","Yerevan","Vantyan street","14"
"","Yerevan","Vantyan street","15"
"","Yerevan","Vantyan street","16"
"","Yerevan","Vantyan street","17"
"","Yerevan","Vantyan street","18"
"","Yerevan","Vantyan street","19"
"","Yerevan","Vantyan street","1a"
"","Yerevan","Vantyan street","20"
"","Yerevan","Vantyan street","21"
"","Yerevan","Vantyan street","22"
"","Yerevan","Vantyan street","23"
"","Yerevan","Vantyan street","24"
"","Yerevan","Vantyan street","25"
"","Yerevan","Vantyan street","26"
"","Yerevan","Vantyan street","27"
"","Yerevan","Vantyan street","28"
"","Yerevan","Vantyan street","29"
"","Yerevan","Vantyan street","3"
"","Yerevan","Vantyan street","30"
"","Yerevan","Vantyan street","32"
"","Yerevan","Vantyan street","34"
"","Yerevan","Vantyan street","3a"
"","Yerevan","Vantyan street","5"
"","Yerevan","Vantyan street","54"
"","Yerevan","Vantyan street","56"
"","Yerevan","Vantyan street","58"
"","Yerevan","Vantyan street","60"
"","Yerevan","Vantyan street","61a"
"","Yerevan","Vantyan street","7"
"","Yerevan","Vantyan street","71"
"","Yerevan","Vantyan street","79"
"","Yerevan","Vantyan street","81"
"","Yerevan","Vantyan street","83"
"","Yerevan","Vantyan street","85"
"","Yerevan","Vantyan street","87"
"","Yerevan","Vantyan street","87/2"
"","Yerevan","Vantyan street","89"
"","Yerevan","Vantyan street","9"
"","Yerevan","Vantyan street","91"
"","Yerevan","Vantyan street","93"
"","Yerevan","Vantyan street","95"
"","Yerevan","Vardanants deadlock","17"
"","Yerevan","Vardanants deadlock","19"
"","Yerevan","Vardanants deadlock","21"
"","Yerevan","Vardanants deadlock","4"
"","Yerevan","Verin Shengavit 2nd street","1"
"","Yerevan","Verin Shengavit 2nd street","2"
"","Yerevan","Verin Shengavit 2nd street","20/1"
"","Yerevan","Verin Shengavit 2nd street","20/2"
"","Yerevan","Verin Shengavit 2nd street","3"
"","Yerevan","Verin Shengavit 2nd street","4"
"","Yerevan","Verin Shengavit 2nd street","5"
"","Yerevan","Verin Shengavit 2nd street","6"
"","Yerevan","Voskanyan Street","72a"
"","Yerevan","Voskanyan Street","74a"
"","Yerevan","Yaghubyan street","1"
"","Yerevan","Yaghubyan street","10"
"","Yerevan","Yaghubyan street","11"
"","Yerevan","Yaghubyan street","12"
"","Yerevan","Yaghubyan street","13"
"","Yerevan","Yaghubyan street","14"
"","Yerevan","Yaghubyan street","15"
"","Yerevan","Yaghubyan street","16"
"","Yerevan","Yaghubyan street","17"
"","Yerevan","Yaghubyan street","18"
"","Yerevan","Yaghubyan street","19"
"","Yerevan","Yaghubyan street","2"
"","Yerevan","Yaghubyan street","20"
"","Yerevan","Yaghubyan street","21"
"","Yerevan","Yaghubyan street","23"
"","Yerevan","Yaghubyan street","25"
"","Yerevan","Yaghubyan street","27"
"","Yerevan","Yaghubyan street","29"
"","Yerevan","Yaghubyan street","3"
"","Yerevan","Yaghubyan street","31"
"","Yerevan","Yaghubyan street","4"
"","Yerevan","Yaghubyan street","5"
"","Yerevan","Yaghubyan street","6"
"","Yerevan","Yaghubyan street","7"
"","Yerevan","Yaghubyan street","8"
"","Yerevan","Yaghubyan street","9"
"","Yerevan","Ադանայի փողոց","1"
"","Yerevan","Ադանայի փողոց","1/1"
